index,qubits,sys_noisy,sys_ideal,ideal,noisy
0,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5714286, 0.5, 0.5, 0.5714286]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
1,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
2,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33333334, 0.33333334]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
3,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
4,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.53333336, 0.53333336, 0.46666667, 0.46666667]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
5,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
6,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
7,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
8,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
9,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.27272728, 0.45454547, 0.54545456, 0.36363637]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
10,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
11,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
12,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.2, 0.8, 0.2, 0.2]"
13,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
14,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
15,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
16,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666667, 0.33333334]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
17,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
18,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
19,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
20,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
21,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
22,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
23,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
24,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.53333336, 0.53333336, 0.46666667, 0.46666667]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
25,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.61538464, 0.46153846, 0.53846157, 0.61538464]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
26,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.54545456, 0.36363637, 0.54545456, 0.27272728]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
27,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.41666666, 0.6666667, 0.41666666, 0.5833333]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
28,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.33333334, 0.8333333, 0.16666667, 0.33333334]"
29,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
30,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.2, 0.8, 0.2, 0.2]"
31,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
32,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
33,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.53333336, 0.46666667, 0.53333336, 0.53333336]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
34,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
35,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.53333336, 0.53333336, 0.46666667, 0.46666667]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
36,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.25, 0.75, 0.25, 0.5]"
37,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
38,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
39,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
40,4,ibmq_kolkata,QasmSimulator,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.42857143, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5]"
